litho_code,lithology_name,n_samples,rock_group,tier,lith_class,keep,note
GRVL,Gravel,274,Sediment Siliciclastic Rudite,overburden,Transported cover,Y,unconsolidated name within siliciclastic group
MYLN,Mylonite,268,Metamorphic Dynamic,basement,EXCLUDED,N,fault rock: chemistry inherits unknown protolith [ROCK_GROUP: Metamorphic Dynamic]
REGO,Regolith,265,Regolith,interburden,In-situ regolith,Y,SARIG regolith group [ROCK_GROUP: Regolith]
IMAF,Igneous Mafic,248,Igneous Mafic,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic]
DACT,Dacite,236,Igneous Felsic Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive]
GRDI,Granodiorite,234,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MEXT,Mafic Extrusive,202,Igneous Mafic Extrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Extrusive]
GRNL,Granulite,192,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
CALC,Calcrete,192,Duricrust Calcareous,interburden,In-situ regolith,Y,duricrust caps the in-situ profile [ROCK_GROUP: Duricrust Calcareous]
JSPT,Jaspilite,192,Sediment Chemical/Biogenic Ferruginous,basement,EXCLUDED,N,iron formation: too few complete-case samples; Fe-oxide chemistry distorts a small class [ROCK_GROUP: Sediment Chemical/Biogenic Ferruginous]
CLST,Claystone,191,Sediment Siliciclastic Lutite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Lutite]
META,Metamorphic Rock,185,Metamorphic,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic]
ADML,Adamellite,170,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MFIG,Meta-Felsic Igneous Rock,160,Meta-Igneous Felsic,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Felsic]
PELT,Pelite,159,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
RHYD,Rhyodacite,158,Igneous Felsic Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive]
IRSU,Ironstone (Undiff. Origin),143,General/Miscellaneous,basement,EXCLUDED,N,unresolvable without protolith info [ROCK_GROUP: General/Miscellaneous]
SKRN,Skarn,140,Metasomatic/Thermal/Hydrothermal,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal]"
GYWK,Greywacke,135,Sediment Siliciclastic Arenite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Arenite]
XXXX,No Information,130,No Information,basement,EXCLUDED,N,no rock group recorded [ROCK_GROUP: No Information]
